RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
87,Solomon Hill,Mia,F,29.57,7,6.0,12.4,9.8,0.0,0,0.0,3,1.0,6,0.33299999999999996,0.667,0.667,1.7,1.0,9.7,0.4,10.9,0.14,0.0,0.0,5.9,143.6,100.5
88,Jaylen Hoard,Por,F,21.54,3,13.8,28.8,14.1,14.3,0,0.0,12,0.583,0,0.0,0.583,0.583,4.7,3.0,11.4,0.3,3.9,0.0,0.0,0.67,4.7,115.4,109.0
89,Aaron Holiday,Ind,G,24.03,4,18.0,37.4,17.4,14.7,5,0.6,12,0.667,9,0.444,0.667,0.6679999999999999,7.8,1.3,4.1,2.5,23.4,1.0,0.0,1.0,6.5,122.8,98.5
90,Justin Holiday,Ind,F-G,31.52,4,32.8,68.3,8.9,11.8,3,0.33299999999999996,5,0.4,16,0.5,0.667,0.65,7.3,3.8,6.7,0.8,3.3,1.5,1.25,0.75,3.4,118.5,106.9
91,Rondae Hollis-Jefferson,Tor,F,25.77,5,7.7,16.1,16.6,6.9,8,0.75,9,0.444,1,0.0,0.4,0.518,2.8,2.0,14.0,0.6,11.2,0.4,0.2,0.2,7.8,123.5,94.4
92,Al Horford,Phi,C-F,34.36,4,32.1,66.9,10.9,12.5,7,0.5710000000000001,21,0.5710000000000001,4,0.0,0.48,0.499,7.0,7.3,12.1,2.3,11.7,0.25,1.25,1.0,6.1,110.7,102.8
93,Talen Horton-Tucker,Lal,G,19.88,2,8.5,17.6,30.9,0.0,0,0.0,7,0.5710000000000001,5,0.4,0.583,0.583,7.0,2.5,17.5,0.0,0.0,1.0,0.0,0.0,0.0,109.9,76.2
94,Danuel House Jr.,Hou,F-G,27.35,9,31.0,64.6,15.7,7.2,13,0.769,32,0.563,53,0.358,0.547,0.568,11.4,5.8,10.4,1.4,7.3,0.89,0.0,0.78,5.8,115.5,105.6
95,Dwight Howard,Lal,C-F,34.84,18,15.7,32.6,14.3,17.2,45,0.556,55,0.691,2,0.5,0.693,0.677,5.8,4.6,17.4,0.5,4.5,0.44,0.44,0.89,6.0,123.4,89.5
96,Serge Ibaka,Tor,F,31.07,11,22.9,47.6,22.5,9.4,14,1.0,65,0.615,45,0.511,0.677,0.7020000000000001,14.8,7.7,18.2,1.2,9.4,0.18,1.27,1.09,9.0,128.3,95.1
97,Andre Iguodala,Mia,G-F,36.7,21,19.5,40.6,9.1,17.1,7,0.7140000000000001,26,0.615,39,0.359,0.569,0.58,3.8,2.6,7.6,1.5,10.7,0.81,0.62,0.67,5.0,112.8,101.7
